datetime,tempmax,tempmin,temp,dew,humidity,precip,windspeed,visibility,conditions
2020-01-01,33.8,21.2,28.0,17.9,65.9,0.003,3.6,6.5,Snow Rain Overcast
2020-01-02,40.3,31.4,35.0,25.5,68.5,0.003,4.2,5.8,Snow Rain Overcast
2020-01-03,40.4,25.6,32.4,20.2,64.0,0.0,4.8,5.4,Clear
2020-01-04,43.3,23.2,33.8,20.5,59.8,0.0,5.0,6.2,Partially cloudy
2020-01-05,43.6,23.1,33.4,17.9,54.8,0.0,3.1,6.3,Clear
2020-01-06,41.0,30.7,37.2,26.9,67.7,0.039,8.7,5.8,Rain Overcast
2020-01-07,46.5,39.8,43.5,42.2,95.2,1.834,9.0,3.2,Rain Overcast
2020-01-08,49.1,32.8,39.0,35.5,87.5,1.948,12.7,5.1,Snow Rain Overcast
2020-01-09,35.5,27.7,31.7,21.9,67.3,0.0,6.4,5.7,Partially cloudy
2020-01-10,39.1,24.4,31.3,21.3,68.2,0.0,6.2,4.8,Partially cloudy
2020-01-11,39.1,25.3,32.1,22.2,67.9,0.0,6.2,5.7,Partially cloudy
2020-01-12,37.5,27.1,31.7,20.4,63.6,0.0,6.8,6.3,Partially cloudy
2020-01-13,32.6,24.1,28.5,13.6,55.5,0.0,8.1,6.9,Partially cloudy
2020-01-14,35.9,22.2,28.6,11.3,50.3,0.002,5.9,7.0,Snow Rain Partially cloudy
2020-01-15,35.1,21.5,28.3,11.2,49.9,0.0,6.0,6.9,Clear
2020-01-16,37.3,22.1,29.4,11.6,48.6,0.0,7.0,6.9,Partially cloudy
2020-01-17,40.1,21.5,31.0,14.4,51.7,0.0,3.6,6.5,Partially cloudy
2020-01-18,41.9,23.9,32.1,16.2,54.9,0.0,4.8,6.2,Clear
2020-01-19,41.5,30.0,35.5,26.0,68.9,0.023,9.2,5.5,Rain Partially cloudy
2020-01-20,43.4,28.7,34.7,18.8,53.8,0.015,8.0,6.4,Snow Rain Partially cloudy
2020-01-21,40.9,21.2,30.7,10.5,44.6,0.0,3.5,7.1,Partially cloudy
2020-01-22,45.1,31.6,36.9,16.4,44.0,0.0,4.8,7.1,Partially cloudy
2020-01-23,49.2,28.0,39.6,24.9,56.6,0.0,6.8,5.9,Partially cloudy
2020-01-24,45.3,28.3,37.1,27.5,69.4,0.0,5.4,4.2,Partially cloudy
2020-01-25,48.0,30.6,38.7,29.7,70.9,0.0,5.3,5.3,Partially cloudy
2020-01-26,52.8,27.9,41.0,28.7,65.2,0.0,9.7,6.0,Partially cloudy
2020-01-27,46.6,41.6,43.8,26.7,51.4,0.001,12.3,7.5,Rain Overcast
2020-01-28,51.0,40.6,45.5,29.7,54.9,0.005,8.4,7.6,Rain Partially cloudy
2020-01-29,49.6,33.9,42.4,26.7,54.9,0.001,5.0,7.6,Rain Partially cloudy
2020-01-30,49.3,30.4,41.0,25.4,55.4,0.0,4.5,7.6,Partially cloudy
2020-01-31,45.1,33.5,39.3,28.4,65.3,0.0,6.7,6.8,Partially cloudy
2020-02-01,45.7,27.1,36.3,28.0,72.8,0.0,6.9,5.1,Partially cloudy
2020-02-02,42.1,25.7,35.1,20.2,57.8,0.0,6.9,5.3,Partially cloudy
2020-02-03,37.5,29.0,33.1,15.2,48.9,0.0,8.2,7.2,Partially cloudy
2020-02-04,39.4,20.3,30.5,16.1,56.4,0.28,10.5,7.0,Snow Rain Partially cloudy
2020-02-05,23.9,14.0,19.0,-1.1,40.9,0.042,10.2,7.4,Snow
2020-02-06,31.7,12.0,21.0,-0.1,40.1,0.0,5.5,7.6,Clear
2020-02-07,36.8,20.7,29.0,11.0,48.8,0.0,6.3,7.5,Partially cloudy
2020-02-08,39.2,28.5,33.0,17.6,54.5,0.0,11.2,6.6,Partially cloudy
2020-02-09,39.3,23.2,31.1,16.3,55.7,0.0,9.7,7.3,Partially cloudy
2020-02-10,49.4,31.0,39.2,23.6,57.0,0.0,6.9,6.2,Partially cloudy
2020-02-11,57.6,26.3,42.6,21.1,47.2,0.0,6.4,6.5,Partially cloudy
2020-02-12,46.7,41.9,44.9,36.4,75.1,0.115,10.6,3.7,Rain Overcast
2020-02-13,47.4,38.0,44.0,40.9,89.1,0.227,7.8,1.8,Rain Partially cloudy
2020-02-14,57.1,37.3,45.5,38.3,78.3,0.009,4.9,2.6,Rain Partially cloudy
2020-02-15,59.1,35.6,48.3,38.1,70.6,0.025,8.2,4.0,Rain Partially cloudy
2020-02-16,45.7,25.1,32.1,27.5,83.5,0.639,13.1,3.7,Snow Rain Partially cloudy
2020-02-17,27.5,19.9,23.0,14.5,69.5,0.05,11.3,5.2,Snow Partially cloudy
2020-02-18,35.6,18.2,25.4,8.3,49.0,0.0,8.0,8.1,Clear
2020-02-19,44.5,23.8,33.6,21.3,61.8,0.0,6.0,7.1,Partially cloudy
2020-02-20,51.7,29.0,39.6,29.8,70.2,0.0,6.1,4.5,Partially cloudy
2020-02-21,52.8,31.3,43.8,34.4,71.2,0.027,9.0,4.6,Rain Partially cloudy
2020-02-22,46.4,34.0,41.3,30.4,66.9,0.286,21.7,4.9,Rain Partially cloudy
2020-02-23,45.8,29.0,36.9,20.3,52.8,0.0,8.1,8.2,Clear
2020-02-24,54.5,32.5,43.4,29.5,59.2,0.0,6.3,7.5,Partially cloudy
2020-02-25,49.9,42.3,45.1,38.4,78.1,0.771,11.9,6.2,Rain Partially cloudy
2020-02-26,50.9,38.5,44.3,33.2,65.7,0.393,7.1,8.0,Rain Partially cloudy
2020-02-27,52.9,34.8,43.0,29.7,61.7,0.0,6.6,8.1,Partially cloudy
2020-02-28,43.8,36.8,40.5,34.7,80.4,0.102,6.8,5.3,Rain Partially cloudy
2020-02-29,54.5,40.0,45.8,37.6,75.5,0.153,6.6,5.4,Rain Partially cloudy
2020-03-01,49.8,34.2,42.4,36.5,80.0,0.0,7.9,4.6,Partially cloudy
2020-03-02,45.5,33.5,39.2,25.7,60.0,0.007,7.6,6.5,Rain Partially cloudy
2020-03-03,50.8,32.0,40.7,29.0,64.3,0.0,9.7,6.0,Partially cloudy
2020-03-04,42.3,31.4,37.2,24.5,60.8,0.003,19.0,6.2,Snow Rain Partially cloudy
2020-03-05,43.6,27.8,34.8,18.2,52.0,0.0,9.2,7.1,Clear
2020-03-06,49.5,28.6,38.3,21.4,55.1,0.0,6.4,6.9,Partially cloudy
2020-03-07,57.0,35.0,43.8,23.2,46.3,0.0,6.7,6.3,Partially cloudy
2020-03-08,61.9,32.6,47.3,28.7,53.0,0.0,9.0,5.4,Clear
2020-03-09,62.8,40.0,50.7,29.7,47.7,0.0,9.6,5.5,Partially cloudy
2020-03-10,51.2,40.0,45.4,38.8,79.2,0.355,12.5,4.5,Rain Partially cloudy
2020-03-11,46.4,33.0,39.3,19.4,45.7,0.27,11.2,8.0,Rain
2020-03-12,55.7,33.3,44.0,26.0,53.4,0.0,15.6,7.9,Partially cloudy
2020-03-13,47.8,34.9,42.6,21.0,46.6,0.017,11.3,7.4,Rain Partially cloudy
2020-03-14,49.0,28.1,39.0,21.3,50.3,0.004,12.5,7.4,Rain Partially cloudy
2020-03-15,47.9,34.6,40.7,22.3,52.6,0.0,25.3,6.9,Partially cloudy
2020-03-16,47.5,26.8,38.2,18.5,47.7,0.0,8.6,8.1,Clear
2020-03-17,54.3,37.7,44.3,35.0,70.1,0.0,7.9,6.7,Partially cloudy
2020-03-18,62.9,33.5,48.9,29.1,54.7,0.0,7.7,5.4,Clear
2020-03-19,55.4,44.5,49.9,32.4,52.0,0.0,12.9,6.7,Partially cloudy
2020-03-20,56.5,36.6,47.7,25.0,44.8,0.0,9.7,7.5,Clear
2020-03-21,66.2,44.3,54.5,39.7,58.2,0.0,7.1,6.9,Partially cloudy
2020-03-22,61.9,44.2,53.1,29.3,47.6,0.0,9.0,6.7,Clear
2020-03-23,62.2,38.7,50.9,28.4,42.8,0.0,6.2,6.9,Clear
2020-03-24,63.6,39.7,52.0,29.5,45.8,0.0,6.5,6.4,Clear
2020-03-25,66.1,40.5,53.4,30.0,43.2,0.0,7.3,7.0,Partially cloudy
2020-03-26,69.0,44.3,57.6,41.4,58.1,0.005,7.4,6.2,Rain Partially cloudy
2020-03-27,61.3,46.8,55.3,41.5,65.1,0.229,9.5,5.3,Rain Partially cloudy
2020-03-28,54.0,40.9,46.8,8.5,21.3,0.0,8.4,7.6,Partially cloudy
2020-03-29,60.3,32.0,46.7,21.4,37.9,0.0,7.9,7.5,Clear
2020-03-30,61.5,35.8,49.5,26.0,43.6,0.0,6.4,6.9,Clear
2020-03-31,64.9,40.1,52.3,28.7,43.3,0.0,7.0,7.1,Partially cloudy
2020-04-01,64.2,44.5,53.6,28.4,39.2,0.0,13.0,6.8,Partially cloudy
2020-04-02,59.6,38.1,48.9,27.6,47.8,0.0,8.7,7.2,Clear
2020-04-03,61.5,38.3,49.9,33.9,57.3,0.0,8.5,6.0,Clear
2020-04-04,55.6,44.1,49.3,22.1,44.0,0.0,11.6,6.2,Clear
2020-04-05,56.0,36.2,45.6,13.8,30.1,0.0,7.6,7.3,Clear
2020-04-06,60.4,35.3,48.4,26.9,46.7,0.0,8.2,7.2,Clear
2020-04-07,62.0,42.0,51.2,38.7,63.7,0.0,7.5,6.4,Partially cloudy
2020-04-08,58.0,40.7,50.0,17.7,29.5,0.0,9.4,7.5,Clear
2020-04-09,57.5,40.7,49.0,27.2,43.5,0.0,8.6,7.2,Clear
2020-04-10,60.2,40.6,50.8,34.1,54.4,0.0,7.0,7.0,Partially cloudy
2020-04-11,59.4,41.3,50.0,37.2,63.2,0.0,9.0,6.6,Partially cloudy
2020-04-12,58.7,39.6,50.0,35.7,60.4,0.0,15.6,6.6,Partially cloudy
2020-04-13,67.8,41.1,53.8,26.0,38.3,0.0,11.8,7.6,Clear
2020-04-14,66.5,42.8,54.5,32.2,47.2,0.0,9.6,6.8,Clear
2020-04-15,67.7,40.7,55.1,30.4,41.2,0.0,7.8,6.4,Partially cloudy
2020-04-16,73.5,44.7,59.6,35.5,42.6,0.0,7.3,6.6,Clear
2020-04-17,60.7,51.6,55.4,46.8,74.2,0.328,7.2,5.9,Rain Partially cloudy
2020-04-18,66.8,47.8,56.8,45.7,68.5,0.159,8.3,6.8,Rain Partially cloudy
2020-04-19,60.6,50.2,54.5,46.4,75.4,0.605,7.8,6.3,Rain Partially cloudy
2020-04-20,56.8,48.2,51.5,42.8,72.9,0.278,8.4,7.1,Rain Partially cloudy
2020-04-21,51.9,42.0,47.1,27.5,48.8,0.003,13.4,7.5,Rain Partially cloudy
2020-04-22,46.9,40.2,44.3,23.6,44.1,0.0,21.6,7.3,Partially cloudy
2020-04-23,55.6,38.5,47.6,27.3,46.9,0.0,9.2,7.6,Clear
2020-04-24,57.7,39.3,50.3,34.1,55.1,0.0,14.0,7.5,Clear
2020-04-25,63.3,50.6,56.9,39.4,52.0,0.0,12.2,6.8,Partially cloudy
2020-04-26,64.9,43.5,54.7,31.5,44.6,0.0,7.8,7.4,Clear
2020-04-27,64.0,46.9,55.5,36.0,50.8,0.0,7.6,7.2,Partially cloudy
2020-04-28,67.3,44.3,56.5,36.7,50.4,0.0,9.3,7.3,Clear
2020-04-29,69.5,48.0,58.8,38.4,52.0,0.0,8.4,6.4,Clear
2020-04-30,73.9,46.0,61.6,45.6,56.7,0.0,8.4,7.3,Partially cloudy
2020-05-01,79.0,61.9,68.8,59.8,74.0,0.0,10.3,5.9,Partially cloudy
2020-05-02,75.6,64.9,69.4,62.4,79.0,0.0,4.8,5.7,Overcast
2020-05-03,81.0,61.1,71.1,60.4,71.0,0.0,5.8,6.6,Partially cloudy
2020-05-04,76.6,60.0,69.4,56.4,64.2,0.0,8.0,6.7,Partially cloudy
2020-05-05,66.7,54.4,61.0,50.8,69.4,0.001,7.3,6.9,Rain Partially cloudy
2020-05-06,81.0,50.7,65.7,46.3,54.9,0.0,6.5,7.3,Clear
2020-05-07,78.8,58.9,69.3,38.3,33.9,0.0,9.7,8.0,Partially cloudy
2020-05-08,79.4,59.0,68.6,32.1,29.8,0.01,8.5,7.9,Rain Partially cloudy
2020-05-09,62.4,55.7,58.6,56.8,94.0,1.086,11.4,3.1,Rain Partially cloudy
2020-05-10,63.0,55.5,58.4,55.3,89.8,0.506,9.2,3.8,Rain Partially cloudy
2020-05-11,71.3,55.6,62.4,47.3,62.4,0.0,11.8,4.8,Partially cloudy
2020-05-12,65.2,49.1,58.3,48.9,72.4,0.156,14.8,7.1,Rain Partially cloudy
2020-05-13,71.7,50.5,61.1,40.1,50.6,0.0,14.5,8.1,Clear
2020-05-14,78.6,53.5,66.2,38.4,38.3,0.0,8.3,8.2,Partially cloudy
2020-05-15,69.0,59.0,62.3,53.4,76.7,0.358,9.2,5.6,Rain Overcast
2020-05-16,68.3,59.3,62.4,59.7,91.0,0.43,7.0,3.2,Rain Overcast
2020-05-17,76.6,58.5,66.3,60.1,81.7,0.011,7.2,4.2,Rain Partially cloudy
2020-05-18,80.6,56.3,67.1,61.0,82.8,1.214,18.8,4.2,Rain Partially cloudy
2020-05-19,62.6,53.1,56.8,48.6,75.4,1.308,13.6,6.9,Rain Partially cloudy
2020-05-20,67.1,49.2,58.3,44.2,60.2,0.51,7.8,8.1,Rain Partially cloudy
2020-05-21,72.4,52.3,63.0,47.0,57.4,0.0,6.2,7.9,Partially cloudy
2020-05-22,73.0,57.9,65.9,55.1,68.6,0.0,7.4,6.2,Partially cloudy
2020-05-23,76.5,62.0,68.5,56.6,67.3,0.0,10.1,5.4,Partially cloudy
2020-05-24,68.6,58.9,64.1,58.9,83.5,0.58,14.2,5.1,Rain Partially cloudy
2020-05-25,69.8,57.2,62.1,56.5,82.6,0.41,8.5,3.8,Rain Partially cloudy
2020-05-26,72.7,55.0,61.6,55.5,81.8,0.058,9.5,3.9,Rain Partially cloudy
2020-05-27,74.4,53.8,63.7,52.6,70.5,0.058,10.7,7.2,Rain Partially cloudy
2020-05-28,74.3,57.7,65.9,52.3,64.0,0.001,8.2,6.7,Rain Partially cloudy
2020-05-29,80.6,57.1,68.8,56.4,67.4,0.0,8.7,6.6,Partially cloudy
2020-05-30,84.3,60.0,72.6,56.3,59.8,0.0,7.7,7.0,Partially cloudy
2020-05-31,80.3,61.7,70.5,56.5,62.6,0.0,9.3,6.0,Partially cloudy
2020-06-01,76.1,62.1,68.3,54.7,65.4,0.077,14.8,7.1,Rain Partially cloudy
2020-06-02,72.2,58.9,65.0,54.1,68.9,0.076,11.7,7.1,Rain Partially cloudy
2020-06-03,82.4,63.9,71.5,62.7,75.7,0.004,11.1,4.8,Rain Partially cloudy
2020-06-04,80.9,67.6,71.5,65.6,82.6,0.02,12.2,4.4,Rain Partially cloudy
2020-06-05,82.9,65.3,73.1,62.8,72.9,0.0,7.1,5.0,Partially cloudy
2020-06-06,87.6,66.3,76.2,62.9,65.8,0.0,9.5,5.7,Partially cloudy
2020-06-07,83.3,66.4,73.1,62.6,71.1,0.0,9.8,5.5,Partially cloudy
2020-06-08,88.1,66.8,76.5,63.6,66.8,0.0,11.2,6.0,Partially cloudy
2020-06-09,91.4,65.1,79.6,60.6,54.7,0.0,9.7,7.9,Partially cloudy
2020-06-10,89.7,70.6,78.7,64.0,62.9,0.174,12.4,7.2,Rain Partially cloudy
2020-06-11,88.2,71.9,79.0,67.9,71.3,0.256,9.2,7.1,Rain Partially cloudy
2020-06-12,81.3,69.8,76.1,66.4,72.9,0.001,5.7,7.0,Rain Partially cloudy
2020-06-13,91.6,69.0,79.8,62.5,58.3,0.006,9.6,7.3,Rain Partially cloudy
2020-06-14,84.0,69.8,75.9,65.0,71.0,0.014,13.4,5.7,Rain Partially cloudy
2020-06-15,83.6,64.7,73.2,58.6,63.5,0.0,11.7,7.2,Partially cloudy
2020-06-16,86.9,68.1,75.8,62.1,64.4,0.0,9.0,5.0,Partially cloudy
2020-06-17,86.0,65.4,75.4,60.4,61.2,0.0,10.5,6.0,Partially cloudy
2020-06-18,80.2,67.0,73.8,60.6,64.0,0.0,6.8,7.2,Partially cloudy
2020-06-19,84.9,70.0,76.1,62.5,64.0,0.004,8.3,8.0,Rain Partially cloudy
2020-06-20,84.6,67.2,76.6,63.3,64.8,0.0,11.4,7.2,Clear
2020-06-21,90.1,66.9,78.3,62.8,61.5,0.0,7.6,6.9,Clear
2020-06-22,95.2,71.0,82.6,62.3,53.6,0.0,8.7,7.4,Partially cloudy
2020-06-23,88.8,73.7,80.4,62.5,55.2,0.0,7.0,7.5,Partially cloudy
2020-06-24,79.1,68.3,73.4,66.1,79.6,0.931,13.0,5.1,Rain Overcast
2020-06-25,74.1,69.0,71.2,68.2,90.7,1.754,9.1,4.5,Rain Overcast
2020-06-26,78.8,66.5,71.6,65.8,82.9,0.131,11.4,5.3,Rain Partially cloudy
2020-06-27,84.3,68.9,75.3,64.6,70.5,0.0,11.6,7.3,Partially cloudy
2020-06-28,86.0,70.4,77.1,66.8,71.9,0.0,10.3,6.4,Partially cloudy
2020-06-29,80.6,68.0,75.2,66.7,75.6,0.112,11.6,5.6,Rain Partially cloudy
2020-06-30,73.6,65.4,68.6,64.0,85.8,2.934,15.9,5.7,Rain Overcast
2020-07-01,75.5,64.4,70.0,63.3,79.9,0.015,7.7,7.2,Rain Partially cloudy
2020-07-02,84.0,66.6,75.1,65.4,73.1,0.0,4.8,5.1,Partially cloudy
2020-07-03,86.0,70.2,77.9,62.4,61.9,0.0,11.7,6.3,Partially cloudy
2020-07-04,83.9,68.7,75.1,61.8,66.0,0.104,5.2,6.3,Rain Partially cloudy
2020-07-05,82.0,66.7,74.6,62.6,67.2,0.0,5.2,6.6,Partially cloudy
2020-07-06,86.9,71.2,78.3,64.6,63.6,0.0,5.7,7.3,Partially cloudy
2020-07-07,82.3,72.5,76.3,66.4,71.8,0.0,6.0,7.3,Partially cloudy
2020-07-08,86.2,70.5,77.9,67.2,70.9,0.0,6.4,6.2,Partially cloudy
2020-07-09,91.0,70.2,80.5,66.9,66.2,0.0,6.6,5.3,Partially cloudy
2020-07-10,81.7,74.1,77.7,67.0,69.8,0.08,11.8,7.3,Rain Partially cloudy
2020-07-11,85.3,72.5,78.7,63.9,61.3,0.012,8.1,7.0,Rain Partially cloudy
2020-07-12,78.3,71.6,74.8,63.4,68.5,0.132,6.1,7.1,Rain Partially cloudy
2020-07-13,71.6,64.1,66.6,64.3,92.5,2.041,8.9,4.8,Rain Overcast
2020-07-14,75.4,63.2,68.9,61.4,78.0,1.903,8.7,6.9,Rain Overcast
2020-07-15,82.8,66.7,73.7,59.4,62.4,0.0,6.4,7.6,Partially cloudy
2020-07-16,84.8,67.8,76.7,65.5,69.4,0.0,5.8,7.2,Partially cloudy
2020-07-17,87.6,70.3,78.7,68.3,71.5,0.0,5.3,6.4,Partially cloudy
2020-07-18,86.2,72.0,78.7,68.5,71.7,0.0,5.9,6.1,Partially cloudy
2020-07-19,81.2,69.1,76.0,68.6,78.7,1.588,13.9,6.6,Rain Overcast
2020-07-20,80.8,72.9,76.1,71.0,84.4,0.343,14.9,7.0,Rain Overcast
2020-07-21,86.3,70.9,77.7,68.0,73.6,0.021,5.8,6.1,Rain Partially cloudy
2020-07-22,77.5,72.4,74.6,71.5,90.1,0.528,5.3,5.6,Rain Overcast
2020-07-23,73.2,66.7,71.0,69.0,93.6,2.627,10.8,3.6,Rain Overcast
2020-07-24,80.6,66.3,73.3,63.3,71.4,2.729,12.8,7.4,Rain Overcast
2020-07-25,82.3,72.3,76.7,64.1,65.4,0.074,10.8,7.6,Rain Overcast
2020-07-26,84.2,71.3,77.6,65.8,67.2,0.0,5.8,7.6,Partially cloudy
2020-07-27,78.5,72.9,75.9,71.4,86.1,0.087,5.5,7.0,Rain Partially cloudy
2020-07-28,79.2,72.8,75.9,70.8,84.7,0.013,4.2,7.5,Rain Overcast
2020-07-29,78.5,73.1,75.1,73.8,95.5,2.058,5.4,5.7,Rain Overcast
2020-07-30,82.6,74.3,77.9,73.3,86.4,1.166,5.3,5.8,Rain Partially cloudy
2020-07-31,85.2,73.8,79.4,73.3,82.0,0.01,5.3,6.4,Rain Partially cloudy
2020-08-01,82.6,75.2,78.0,74.8,89.9,2.155,6.8,6.4,Rain Overcast
2020-08-02,80.8,74.8,76.9,75.5,95.4,1.961,10.3,4.3,Rain Overcast
2020-08-03,80.6,74.7,77.8,75.7,93.3,4.395,10.2,5.5,Rain Overcast
2020-08-04,85.5,77.1,81.3,76.8,86.4,1.342,8.6,5.3,Rain Overcast
2020-08-05,85.0,78.3,80.3,77.4,91.2,0.515,6.2,5.4,Rain Partially cloudy
2020-08-06,79.9,73.8,76.4,73.5,90.8,4.85,10.6,5.2,Rain Partially cloudy
2020-08-07,80.3,72.3,76.1,70.7,83.8,0.026,5.0,6.4,Rain Partially cloudy
2020-08-08,78.6,72.8,75.9,71.9,87.9,0.625,5.2,6.7,Rain Partially cloudy
2020-08-09,79.7,74.9,77.5,75.4,93.5,2.824,10.7,5.2,Rain Overcast
2020-08-10,86.5,77.9,80.2,77.0,90.7,2.244,6.6,6.1,Rain Overcast
2020-08-11,82.0,72.5,76.8,74.1,91.6,6.313,5.6,5.3,Rain Overcast
2020-08-12,88.0,74.2,80.9,75.5,84.3,0.017,5.4,6.7,Rain Partially cloudy
2020-08-13,88.0,79.2,83.0,76.4,81.0,0.004,6.6,6.5,Rain Partially cloudy
2020-08-14,84.4,80.3,81.9,76.5,83.7,0.01,8.1,6.3,Rain Overcast
2020-08-15,81.6,77.3,79.4,78.0,95.5,3.054,5.5,3.7,Rain Overcast
2020-08-16,88.4,77.3,82.0,75.6,81.8,0.615,7.2,6.5,Rain Partially cloudy
2020-08-17,91.0,78.6,83.3,74.9,76.8,0.0,5.7,6.7,Partially cloudy
2020-08-18,89.1,74.6,81.4,73.2,77.6,0.0,6.2,6.2,Partially cloudy
2020-08-19,88.6,74.2,81.1,72.8,76.9,0.0,6.4,5.8,Partially cloudy
2020-08-20,90.9,76.0,82.1,73.2,75.9,0.0,6.2,5.8,Partially cloudy
2020-08-21,85.0,76.8,80.5,74.4,81.9,0.065,4.1,6.1,Rain Partially cloudy
2020-08-22,82.0,71.8,76.4,72.0,86.6,1.657,6.4,6.5,Rain Partially cloudy
2020-08-23,86.5,70.9,77.7,69.8,78.5,1.096,6.0,7.1,Rain Partially cloudy
2020-08-24,89.2,73.9,81.8,71.6,72.2,0.0,7.9,7.0,Partially cloudy
2020-08-25,94.2,76.8,85.5,73.8,69.7,0.001,9.1,6.2,Rain Partially cloudy
2020-08-26,93.7,78.9,86.7,74.3,67.6,0.003,11.7,7.1,Rain Partially cloudy
2020-08-27,84.5,78.4,81.6,75.0,80.9,0.548,14.1,6.4,Rain Overcast
2020-08-28,85.6,78.6,81.3,77.7,89.2,0.572,5.4,5.9,Rain Partially cloudy
